idx,severity_score,risk_zone_steps,rescue_time,kits,survived
100,2,0,9,2,1
101,2,1,16,4,0
102,3,2,21,5,0
103,3,0,19,2,0
104,3,0,6,2,1
105,1,0,19,1,0
106,2,2,21,1,0
107,3,2,8,5,1
108,3,6,10,4,0
109,2,2,3,0,0
110,3,3,10,0,0
111,1,2,6,5,0
112,2,1,16,4,0
113,3,3,19,0,0
114,1,0,6,4,1
115,1,6,13,4,0
116,3,1,15,1,0
117,1,2,13,0,0
118,2,1,9,5,1
119,1,2,19,3,0
120,3,5,6,1,0
121,1,6,7,3,0
122,1,1,12,3,0
123,3,6,9,2,0
124,1,6,5,3,0
125,1,6,17,1,0
126,1,6,16,2,0
127,2,6,9,1,0
128,1,5,8,3,0
129,2,2,4,2,1
130,2,5,18,3,0
131,3,6,19,2,0
132,1,0,10,1,0
133,3,2,3,0,1
134,3,3,13,5,1
135,2,3,21,4,0
136,1,3,20,1,0
137,2,0,15,0,0
138,3,6,19,5,0
139,3,5,8,2,0
140,2,0,12,4,0
141,2,5,5,5,0
142,2,4,11,5,0
143,2,2,14,5,0
144,2,4,6,1,0
145,2,5,14,5,0
146,3,1,21,4,1
147,2,3,19,0,0
148,2,2,8,3,0
149,3,4,22,2,0
150,2,3,16,5,0
151,1,4,17,5,0
152,1,5,4,2,0
153,3,5,22,4,0
154,2,0,9,5,1
155,2,1,8,1,0
156,1,0,9,3,0
157,3,6,4,3,1
158,2,5,20,1,0
159,3,5,14,3,0
160,2,1,6,5,1
161,3,0,5,3,1
162,1,1,18,3,0
163,1,4,9,0,0
164,2,1,16,5,0
165,3,4,21,2,0
166,2,4,18,3,0
167,3,3,7,5,1
168,2,3,10,1,0
169,3,2,18,3,0
170,3,1,10,3,1
171,1,5,11,1,0
172,2,2,12,4,0
173,1,1,6,1,0
174,2,5,6,5,0
175,1,0,15,3,0
176,2,4,16,3,0
177,1,1,15,3,0
178,3,5,2,4,1
179,2,3,2,2,0
180,2,6,14,3,0
181,3,5,19,4,0
182,1,3,9,2,0
183,2,3,2,3,0
184,2,5,14,5,0
185,1,6,16,1,0
186,3,4,2,3,1
187,3,4,2,0,1
188,3,3,6,3,1
189,1,0,10,3,0
190,2,1,16,2,0
191,2,6,14,2,0
192,2,2,4,3,1
193,1,5,19,0,0
194,2,1,22,0,0
195,3,0,2,1,1
196,1,6,2,4,0
197,1,1,6,3,0
198,3,0,20,1,0
199,2,5,10,2,0
200,1,4,21,5,0
201,3,0,7,2,1
202,1,4,2,2,0
203,3,5,14,3,0
204,3,1,4,4,1
205,3,6,22,1,0
206,1,5,11,5,0
207,3,6,5,4,1
208,1,2,19,3,0
209,3,2,4,4,1
210,3,2,2,3,1
211,2,0,15,2,0
212,3,6,16,5,0
213,1,3,7,5,0
214,3,5,10,4,1
215,3,6,17,3,0
216,2,6,20,2,0
217,2,6,9,0,0
218,2,3,9,3,0
219,3,4,14,2,0
220,1,3,12,1,0
221,2,1,13,2,1
222,2,2,21,5,0
223,2,4,2,4,1
224,1,0,9,5,0
225,2,3,19,1,0
226,3,3,22,5,0
227,2,3,2,0,0
228,2,1,14,5,0
229,1,2,20,2,0
230,2,4,18,2,0
231,2,5,19,2,0
232,2,5,16,2,0
233,2,2,9,0,0
234,3,1,12,0,0
235,3,4,7,1,1
236,1,5,17,2,0
237,3,4,18,4,0
238,2,0,8,2,1
239,1,2,7,2,0
240,1,5,19,1,0
241,2,0,3,4,1
242,2,5,6,5,0
243,2,0,2,4,1
244,2,3,17,3,0
245,2,1,3,2,1
246,2,0,4,3,1
247,2,0,20,5,0
248,3,0,6,1,1
249,3,2,4,1,1
250,1,4,15,4,0
251,3,6,21,1,0
252,3,3,16,3,0
253,2,6,20,3,0
254,2,4,21,0,0
255,3,5,5,1,0
256,3,1,10,5,1
257,1,1,9,1,0
258,3,0,7,0,1
259,2,3,21,3,0
260,2,0,9,2,1
261,3,2,16,0,0
262,3,1,10,5,1
263,3,5,8,3,0
264,1,4,9,5,0
265,1,2,6,0,0
266,1,1,11,4,0
267,3,6,20,2,0
268,2,0,16,5,0
269,2,5,14,2,0
270,3,4,17,3,0
271,1,4,3,3,0
272,3,2,21,2,0
273,1,0,9,5,1
274,3,4,2,5,1
275,2,4,3,1,0
276,2,4,22,3,0
277,2,1,20,3,0
278,3,6,17,0,0
279,2,2,15,2,0
280,2,5,5,1,0
281,2,3,17,2,0
282,3,3,19,0,0
283,2,0,12,2,1
284,2,0,14,4,0
285,1,5,19,3,0
286,2,0,8,4,1
287,2,4,17,5,0
288,2,6,3,1,0
289,2,4,6,2,0
290,2,5,17,0,0
291,1,5,21,1,0
292,3,1,11,4,1
293,1,4,15,0,0
294,1,6,5,3,0
295,1,5,6,3,0
296,3,2,18,5,0
297,2,3,17,3,0
298,1,3,19,1,0
299,2,1,21,4,0
300,3,1,4,2,1
301,2,2,18,2,0
302,1,2,11,4,0
303,3,5,17,1,0
304,2,4,17,2,0
305,2,4,19,3,0
306,2,2,8,5,1
307,1,4,14,1,0
308,2,0,12,5,1
309,2,5,14,3,0
310,3,6,22,1,0
311,2,0,6,4,1
312,3,2,5,3,1
313,1,4,16,0,0
314,3,1,15,5,1
315,1,0,17,2,0
316,2,4,14,5,0
317,1,6,12,5,0
318,3,3,12,5,1
319,3,6,17,4,0
320,1,4,4,1,0
321,3,5,11,1,0
322,3,0,15,0,1
323,3,5,5,3,0
324,1,5,11,0,0
325,1,2,3,2,0
326,2,2,15,1,0
327,1,4,15,4,0
328,3,6,7,1,0
329,1,0,21,3,0
330,3,5,9,3,0
331,3,1,9,3,1
332,3,2,16,2,0
333,3,0,16,2,1
334,3,4,7,0,0
335,2,2,20,2,0
336,3,3,10,3,1
337,2,1,14,3,0
338,1,1,14,4,0
339,2,4,11,5,0
340,2,0,14,2,0
341,1,4,3,4,0
342,3,3,11,1,0
343,3,6,13,1,0
344,3,1,21,2,0
345,3,6,6,5,0
346,1,5,22,0,0
347,2,6,16,0,0
348,3,2,6,0,0
349,2,2,15,1,0
350,1,1,19,2,0
351,3,4,10,1,0
352,2,6,17,2,0
353,3,6,12,0,0
354,2,0,6,1,1
355,3,5,14,4,0
356,2,0,14,0,0
357,2,4,5,3,0
358,2,5,10,4,0
359,2,6,22,2,0
360,1,5,9,3,0
361,1,4,19,2,0
362,3,1,22,0,0
363,3,6,16,5,0
364,2,5,15,0,0
365,1,0,3,2,1
366,2,0,5,1,1
367,3,1,14,3,1
368,2,5,19,3,0
369,3,5,6,3,1
370,3,0,17,4,1
371,2,2,3,5,1
372,2,1,16,3,0
373,1,6,13,0,0
374,3,2,19,5,1
375,2,0,14,2,1
376,1,0,16,0,0
377,3,1,22,5,1
378,3,0,3,2,1
379,1,1,20,1,0
380,1,6,19,1,0
381,3,1,9,2,1
382,1,6,21,0,0
383,2,6,6,1,0
384,3,2,7,0,0
385,3,6,2,1,0
386,1,2,9,4,0
387,2,0,7,2,1
388,1,1,15,4,0
389,1,5,4,3,0
390,2,6,13,4,0
391,3,0,16,4,1
392,1,4,3,5,0
393,3,4,11,3,0
394,3,0,3,3,1
395,2,3,5,3,1
396,3,3,4,0,0
397,2,4,6,0,0
398,1,2,21,5,0
399,3,4,12,3,0
400,3,4,11,3,1
